length, mcs_distribucion_uniforme, mcs_creciente, mcs_decreciente, mcs_constante 
1, 0, 0, 0, 0
2, 0, 0, 0, 0
3, 0, 0, 0, 0
4, 0, 0, 0, 0
5, 0, 0, 0, 0
6, 0, 0, 0, 1
7, 0, 0, 0, 1
8, 1, 0, 0, 2
9, 2, 0, 0, 4
10, 5, 0, 0, 5
11, 9, 0, 0, 7
12, 13, 0, 0, 14
13, 15, 0, 0, 12
14, 34, 0, 0, 15
15, 36, 0, 0, 19
16, 56, 0, 0, 23
17, 141, 0, 0, 28
18, 157, 0, 0, 34
19, 170, 0, 0, 40
20, 492, 0, 0, 46
21, 685, 0, 0, 54
22, 1095, 0, 1, 62
23, 1596, 0, 2, 87
