length, ns_td, ns_bu
1, 812, 785
2, 1179, 1758
3, 2603, 2989
4, 4118, 5494
5, 6238, 8406
6, 10583, 13755
7, 14005, 19367
8, 18618, 27011
9, 25295, 36974
10, 32741, 47874
11, 40364, 55901
12, 53042, 76599
13, 67541, 113478
14, 87110, 123144
15, 102353, 146735
16, 122042, 176880
17, 144737, 272114
18, 173070, 367592
19, 234046, 304870
20, 224834, 336933
21, 264036, 358475
22, 300536, 409272
23, 402962, 522956
