length, ns_td, ns_bu
1, 778, 688
2, 1157, 1853
3, 2775, 3257
4, 4604, 6052
5, 6916, 11177
6, 10388, 13960
7, 13881, 19511
8, 18461, 26818
9, 24725, 38200
10, 32818, 48389
11, 45879, 65133
12, 56065, 79571
13, 69306, 100662
14, 85808, 120406
15, 124940, 137129
16, 115740, 160539
17, 131436, 188358
18, 155327, 214469
19, 183915, 271365
20, 158806, 238415
21, 172128, 230959
22, 169607, 256610
23, 189106, 278480
