length, ns_td, ns_bu
1, 782, 706
2, 1824, 1923
3, 2660, 3087
4, 4756, 4731
5, 6622, 7510
6, 9377, 13443
7, 11857, 20931
8, 17236, 27268
9, 21878, 34944
10, 31547, 48727
11, 43886, 54051
12, 49294, 67311
13, 59165, 83421
14, 79973, 109596
15, 87047, 128321
16, 107592, 148752
17, 130503, 173609
18, 150084, 199611
19, 217724, 268123
20, 211051, 271779
21, 245487, 316292
22, 279884, 350854
23, 312875, 408605
